Time,Pokhara Airport,Lumle,Begnas
20/06/2015,75.6,79,81.2
21/06/2015,82.85,92.85,79.45
22/06/2015,72.5,91.6,95.05
23/06/2015,77.05,89.05,87.55
24/06/2015,78.7,94.45,82.6
25/06/2015,84.4,88.85,79.05
26/06/2015,84.6,93.6,86.15
27/06/2015,82.55,89.05,86.95
28/06/2015,92.3,95.05,87.65
29/06/2015,75.4,86.2,78
30/06/2015,73.7,88.15,76.9
01/07/2015,83.6,99.05,81.85
02/07/2015,80.65,92.55,82.95
03/07/2015,86.5,94,86.8
04/07/2015,77.8,96.3,84
05/07/2015,85.3,98.55,84.15
06/07/2015,77.2,94.4,78.8
07/07/2015,80.15,89.7,82.05
08/07/2015,70.4,77.4,74.5
09/07/2015,76.1,81,75.65
10/07/2015,75.25,86.95,78.5
11/07/2015,86.85,92.2,94.15
12/07/2015,86.85,81.55,76.45
13/07/2015,81.4,90,84.8
14/07/2015,82.05,90.05,86.3
15/07/2015,94.1,98.1,87.7
16/07/2015,93.35,97.05,95.6
17/07/2015,82.4,85.35,92.05
18/07/2015,79.7,82.85,76.65
19/07/2015,73.2,83,75.5
20/07/2015,73.75,91.45,89.85
21/07/2015,74.25,87.8,82.45
22/07/2015,84.65,89.3,79.6
23/07/2015,82.4,94.4,83.2
24/07/2015,77.2,89.2,84.7
25/07/2015,84.4,97.05,95.65
26/07/2015,71.95,85.55,77.05
27/07/2015,80.55,85,83.95
28/07/2015,76.45,92.45,83.45
29/07/2015,78.05,91.8,82.65
30/07/2015,83.8,88.95,86.9
31/07/2015,88.5,88.95,86.7
01/08/2015,91.65,97.95,94.75
02/08/2015,84.1,98,83.85
03/08/2015,72.4,89.6,73.75
04/08/2015,79.8,93.3,77.85
05/08/2015,79.85,97.05,83.1
06/08/2015,92.6,96,87.7
07/08/2015,87.4,95.15,81.65
08/08/2015,83.7,92.4,84.35
09/08/2015,81.3,94.45,84.4
10/08/2015,79.9,91.05,81.05
11/08/2015,76,93.65,80.8
12/08/2015,84.1,90.8,74.9
13/08/2015,77.3,86.2,81.25
14/08/2015,78.9,95.3,80.65
15/08/2015,82.7,94.25,76.35
16/08/2015,84.05,96.2,80.5
17/08/2015,84.1,96.2,85.55
18/08/2015,83.8,95.2,82.4
19/08/2015,90.55,96.65,86.1
20/08/2015,87.15,95.25,88.3
21/08/2015,85.1,94.15,88.85
22/08/2015,80.05,94.3,83.95
23/08/2015,82.25,95.2,82.75
24/08/2015,77.95,94.35,66.9
25/08/2015,80.5,94.9,85.35
26/08/2015,95.35,98.05,84.95
27/08/2015,79.25,92.4,84.7
28/08/2015,78.7,88.8,78.95
29/08/2015,79.2,90.65,78.6
30/08/2015,72.8,89,75.9
31/08/2015,82.35,92.45,89.15
01/09/2015,83.9,88.85,82.7
02/09/2015,88.15,94.3,77.5
03/09/2015,80.7,89.55,80.05
04/09/2015,74.6,87.05,84.7
05/09/2015,77.1,91.4,80.2
06/09/2015,82.55,82.9,90.4
07/09/2015,71.65,78.85,82.55
08/09/2015,86.55,85,87.75
09/09/2015,79.2,90.4,79.3
10/09/2015,81.7,92.2,82.15
11/09/2015,77.45,85.45,88.25
12/09/2015,88.15,93.15,89.6
13/09/2015,78.75,91.25,76.15
14/09/2015,79.9,92.4,83.65
15/09/2015,78.8,87.5,84.3
16/09/2015,73.8,88.75,75.45
17/09/2015,81.45,90.3,80.8
18/09/2015,71.15,81.35,75.9
19/09/2015,69.4,81.25,84.2
20/09/2015,76.1,82.7,81.75
21/09/2015,77.75,91.4,78.05
22/09/2015,87.7,86.95,89.5
23/09/2015,91.45,98,92.45
24/09/2015,84.2,98,86.8
25/09/2015,89,97,83.8
26/09/2015,77.6,94.95,78.8
27/09/2015,84.85,94.95,77.15
28/09/2015,79.85,86.6,82.25
29/09/2015,75.85,85.35,80.15
30/09/2015,75.4,89.65,84.4
01/10/2015,74.45,92.4,81.9
02/10/2015,84.5,91.3,90.85
03/10/2015,74.05,90.25,83.95
04/10/2015,74.15,80.9,80.45
05/10/2015,71.25,72.5,88.2
06/10/2015,62.45,63,74
07/10/2015,66.9,43.25,81.85
08/10/2015,61.4,59.3,72.05
09/10/2015,71.3,70.05,79.45
10/10/2015,76.25,89.3,80.85
11/10/2015,78.55,88.85,84.2
12/10/2015,87.85,92.45,85.35
13/10/2015,74.2,76.8,89.3
14/10/2015,78.75,74.85,91
15/10/2015,85.1,63.15,89.65
16/10/2015,84.15,81.2,89.25
17/10/2015,76.7,86.25,83.25
18/10/2015,75.7,84.25,84.5
19/10/2015,76.3,85.9,87.85
20/10/2015,78.9,92.15,86.1
21/10/2015,84,86.75,84.9
22/10/2015,75.05,77.75,88.45
23/10/2015,80.45,73.15,74.3
24/10/2015,74.45,89.2,71.45
25/10/2015,81.75,82.75,85.9
26/10/2015,83.25,80.5,89.05
27/10/2015,78.15,80.4,86.05
28/10/2015,77.7,87.8,86.4
29/10/2015,91.35,95.3,94.25
30/10/2015,84.6,69.2,87.3
31/10/2015,69.95,57.95,82.45
01/11/2015,70.6,71.65,79.95
02/11/2015,75.25,81.15,91.45
03/11/2015,81.55,91.95,76.85
04/11/2015,84.15,85.5,79.2
05/11/2015,75.05,84.9,72.35
06/11/2015,77,75.7,83.4
07/11/2015,80.2,76.85,76.8
08/11/2015,78.25,86.2,84.9
09/11/2015,77.85,72.75,93.15
10/11/2015,76.9,71.7,88.2
11/11/2015,76.85,74.55,84.6
12/11/2015,78,75.75,78.45
13/11/2015,78.95,83,83.7
14/11/2015,82.25,86.05,84.25
15/11/2015,81.7,88.4,98
16/11/2015,83.45,88.9,88.1
17/11/2015,81.85,86.05,82.25
18/11/2015,81.35,88.1,94.65
19/11/2015,88.1,79.85,93.65
20/11/2015,87.9,64.15,85.25
21/11/2015,79.6,73.95,82.8
22/11/2015,83.85,83.4,96.25
23/11/2015,80.65,87.8,84.75
24/11/2015,81.2,84.1,84.8
25/11/2015,82.55,89.45,82
26/11/2015,79.25,72.55,84.45
27/11/2015,73.6,79.75,98.65
28/11/2015,82.75,69.55,96.3
29/11/2015,80.35,74,87.85
30/11/2015,85.4,79.4,89.8
01/12/2015,89.55,80.3,88.65
02/12/2015,89.25,91.35,91.65
03/12/2015,87.7,81,87.15
04/12/2015,80.85,80.45,74.6
05/12/2015,78.55,90.75,86.6
06/12/2015,82.65,77.8,76.05
07/12/2015,85.7,78.05,81.75
08/12/2015,84.75,90,79.4
09/12/2015,86.8,73.4,88.1
10/12/2015,78.35,70.75,92.8
11/12/2015,85.4,76.55,82.65
12/12/2015,81.8,74.15,88.4
13/12/2015,85.35,83.95,90.25
14/12/2015,76.75,79.35,77.55
15/12/2015,72.95,78.25,90.8
16/12/2015,79.55,77.8,84.5
17/12/2015,76.35,54.15,85.3
18/12/2015,77.45,75.4,83.9
19/12/2015,76.55,82.2,89.15
20/12/2015,84.15,86.45,91.55
21/12/2015,81.55,84.5,78.55
22/12/2015,81.75,69.8,87.8
23/12/2015,74.8,63.9,85.3
24/12/2015,74.4,55.7,77.65
25/12/2015,76.1,62.6,81.75
26/12/2015,74.25,54.75,85.85
27/12/2015,73.75,47.55,82.9
28/12/2015,68.45,45.45,78.2
29/12/2015,72.15,58.4,79.6
30/12/2015,72.15,57.45,83.65
31/12/2015,72.35,73.35,65.3
01/01/2016,75.8,65.05,80.7
02/01/2016,76.3,60.25,86.9
03/01/2016,71.6,66.8,79.65
04/01/2016,72.95,54.15,85.15
05/01/2016,75.25,74.45,74.6
06/01/2016,79.3,89.65,85.15
07/01/2016,82.05,84.55,91.3
08/01/2016,81.25,89.25,84.05
09/01/2016,71.4,79.05,63.85
10/01/2016,72.25,79.55,84.65
11/01/2016,81.2,79.2,78.4
12/01/2016,78.6,81.75,82.55
13/01/2016,77.85,77.45,92.35
14/01/2016,76.95,77.85,86.8
15/01/2016,79.2,91.4,92.45
16/01/2016,78.9,78.05,71.2
17/01/2016,76.3,87.3,82.8
18/01/2016,75.8,63.4,83.95
19/01/2016,77.1,63.3,84.55
20/01/2016,76.5,83.4,85.3
21/01/2016,79,83.3,86.15
22/01/2016,66.55,81.2,73.45
23/01/2016,68.85,71.55,64.25
24/01/2016,63.45,64.6,72.85
25/01/2016,65.7,73.5,94.65
26/01/2016,76.45,81.15,97.8
27/01/2016,73.55,80.4,100
28/01/2016,71.35,79.7,88.4
29/01/2016,65.1,71.6,77.85
30/01/2016,71.8,75.65,85.85
31/01/2016,78.6,91.3,87.3
01/02/2016,79.2,82.2,83.5
02/02/2016,71.3,74.8,79.35
03/02/2016,71.5,64.15,79.5
04/02/2016,74.8,86.35,85.8
05/02/2016,69.5,78.9,78.4
06/02/2016,69.1,77.75,79.1
07/02/2016,63.05,53.4,68
08/02/2016,70.65,81.05,84
09/02/2016,70.75,77.8,81.5
10/02/2016,72.7,83.3,76.2
11/02/2016,64.2,70.1,67.2
12/02/2016,65.9,58,74
13/02/2016,58.8,51.35,74
14/02/2016,54.1,34.35,61.75
15/02/2016,50.4,43.35,62.55
16/02/2016,50.4,44.95,70.2
17/02/2016,50.35,43.3,69.15
18/02/2016,48.45,40,73.85
19/02/2016,59,50.4,60.85
20/02/2016,72.15,63.45,81.2
21/02/2016,61.55,60.35,87.7
22/02/2016,68.2,67.75,83.35
23/02/2016,69.95,90.3,68.25
24/02/2016,69.2,92.3,86.4
25/02/2016,62.1,69.4,80.25
26/02/2016,59.25,78.85,82.75
27/02/2016,56.05,63.2,70.85
28/02/2016,62.9,63.35,66.6
29/02/2016,61.7,53.55,57.9
01/03/2016,50.95,49.15,59.05
02/03/2016,59.85,60.95,72.1
03/03/2016,63.55,90.7,83.2
04/03/2016,79.7,69.55,78.7
05/03/2016,83.35,58.65,70.85
06/03/2016,85.8,60.5,88.55
07/03/2016,61.35,71.9,75.55
08/03/2016,53.1,53.55,71.3
09/03/2016,51.55,54.3,76.65
10/03/2016,52.6,48.35,71.2
11/03/2016,54.85,54.95,68.9
12/03/2016,60.8,62.85,75.65
13/03/2016,74.2,66.2,68.2
14/03/2016,80.15,89.3,72.8
15/03/2016,68.55,61.55,79.65
16/03/2016,48,42.05,55.65
17/03/2016,54.05,55.05,52.8
18/03/2016,47.65,52.85,59.6
19/03/2016,48.5,55.45,69.9
20/03/2016,56.8,54.05,71.7
21/03/2016,48.15,67.85,57.85
22/03/2016,45.25,69.35,56.15
23/03/2016,49.15,49.2,63.75
24/03/2016,53.9,54.55,61.85
25/03/2016,57.15,60.05,68.35
26/03/2016,59.95,61.6,80.35
27/03/2016,66.4,83.45,78.9
28/03/2016,69.85,58.75,80
29/03/2016,47.75,49.2,60.35
30/03/2016,80.85,69.45,76.8
31/03/2016,69.6,75.6,75.7
01/04/2016,72.8,79.85,75.8
02/04/2016,76.25,97.65,72
03/04/2016,76.2,85.4,72.75
04/04/2016,72.6,76.6,79
05/04/2016,84.15,89.2,82.9
06/04/2016,57.4,54.85,73.15
07/04/2016,44.1,45.4,69.15
08/04/2016,41.3,36.6,55.6
09/04/2016,38.15,37.35,49.75
10/04/2016,43.2,33.8,65.25
11/04/2016,46.15,26.45,67.75
12/04/2016,47.6,34.1,94.65
13/04/2016,55.2,41.55,62
14/04/2016,48.25,44.4,71.75
15/04/2016,44.95,43.2,71.25
16/04/2016,56.1,56.65,89
17/04/2016,77.55,78.65,82.95
