Time,Precipitation(mm)
2015-05-15 03:00,2.0
2015-05-16 03:00,0.0
2015-05-17 03:00,0.0
2015-05-18 03:00,30.0
2015-05-19 03:00,0.0
2015-05-20 03:00,10.0
2015-05-21 03:00,2.0
2015-05-22 03:00,46.4
2015-05-23 03:00,0.0
2015-05-24 03:00,0.0
2015-05-25 03:00,2.0
2015-05-26 03:00,0.0
2015-05-27 03:00,4.8
2015-05-28 03:00,8.4
2015-05-29 03:00,6.0
2015-05-30 03:00,2.0
2015-05-31 03:00,4.0
2015-06-01 03:00,38.2
2015-06-02 03:00,4.0
2015-06-03 03:00,4.8
2015-06-04 03:00,0.0
2015-06-05 03:00,0.0
2015-06-06 03:00,0.0
2015-06-07 03:00,0.0
2015-06-08 03:00,0.0
2015-06-09 03:00,0.0
2015-06-10 03:00,0.0
2015-06-11 03:00,10.8
2015-06-12 03:00,62.2
2015-06-13 03:00,10.4
2015-06-14 03:00,8.8
2015-06-15 03:00,2.0
2015-06-16 03:00,0.0
2015-06-17 03:00,30.4
2015-06-18 03:00,0.0
2015-06-19 03:00,8.0
2015-06-20 03:00,10.2
2015-06-21 03:00,50.4
2015-06-22 03:00,42.0
2015-06-23 03:00,4.6
2015-06-24 03:00,40.8
2015-06-25 03:00,46.6
2015-06-26 03:00,0.0
2015-06-27 03:00,48.0
2015-06-28 03:00,6.2
2015-06-29 03:00,30.8
2015-06-30 03:00,2.0
2015-07-01 03:00,0.0
2015-07-02 03:00,42.0
2015-07-03 03:00,18.6
2015-07-04 03:00,106.0
2015-07-05 03:00,42.2
2015-07-06 03:00,0.0
2015-07-07 03:00,10.4
2015-07-08 03:00,8.0
2015-07-09 03:00,10.6
2015-07-10 03:00,2.0
2015-07-11 03:00,16.2
2015-07-12 03:00,2.0
2015-07-13 03:00,0.0
2015-07-14 03:00,8.6
2015-07-15 03:00,50.0
2015-07-16 03:00,140.0
2015-07-17 03:00,40.4
2015-07-18 03:00,50.2
2015-07-19 03:00,76.0
2015-07-20 03:00,50.4
2015-07-21 03:00,30.2
2015-07-22 03:00,32.0
2015-07-23 03:00,10.8
2015-07-24 03:00,18.0
2015-07-25 03:00,10.4
2015-07-26 03:00,8.0
2015-07-27 03:00,80.0
2015-07-28 03:00,10.6
2015-07-29 03:00,4.8
2015-07-30 03:00,130.4
2015-07-31 03:00,46.6
2015-08-01 03:00,10.8
2015-08-02 03:00,12.4
2015-08-03 03:00,10.6
2015-08-04 03:00,86.2
2015-08-05 03:00,10.0
2015-08-06 03:00,8.4
2015-08-07 03:00,8.6
2015-08-08 03:00,0.0
2015-08-09 03:00,4.0
2015-08-10 03:00,8.2
2015-08-11 03:00,80.0
2015-08-12 03:00,2.8
2015-08-13 03:00,40.0
2015-08-14 03:00,22.6
2015-08-15 03:00,36.4
2015-08-16 03:00,8.8
2015-08-17 03:00,38.2
2015-08-18 03:00,78.8
2015-08-19 03:00,8.6
2015-08-20 03:00,10.0
2015-08-21 03:00,76.0
2015-08-22 03:00,86.2
2015-08-23 03:00,30.0
2015-08-24 03:00,56.4
2015-08-25 03:00,38.0
2015-08-26 03:00,0.0
2015-08-27 03:00,46.6
2015-08-28 03:00,56.0
2015-08-29 03:00,50.2
2015-08-30 03:00,128.0
2015-08-31 03:00,10.2
2015-09-01 03:00,16.0
2015-09-02 03:00,10.4
2015-09-03 03:00,8.6
2015-09-04 03:00,0.0
2015-09-05 03:00,0.0
2015-09-06 03:00,80.0
2015-09-07 03:00,0.0
2015-09-08 03:00,10.2
2015-09-09 03:00,8.0
2015-09-10 03:00,0.0
2015-09-11 03:00,2.8
2015-09-12 03:00,50.0
2015-09-13 03:00,10.2
2015-09-14 03:00,44.0
2015-09-15 03:00,70.4
2015-09-16 03:00,0.0
2015-09-17 03:00,0.0
2015-09-18 03:00,0.0
2015-09-19 03:00,0.0
2015-09-20 03:00,30.6
2015-09-21 03:00,0.0
2015-09-22 03:00,116.0
2015-09-23 03:00,20.4
2015-09-24 03:00,10.0
2015-09-25 03:00,120.2
2015-09-26 03:00,2.8
2015-09-27 03:00,0.0
2015-09-28 03:00,16.0
2015-09-29 03:00,2.8
2015-09-30 03:00,0.0
2015-10-01 03:00,0.0
2015-10-02 03:00,30.0
2015-10-03 03:00,10.8
2015-10-04 03:00,0.0
2015-10-05 03:00,0.0
2015-10-06 03:00,0.0
2015-10-07 03:00,0.0
2015-10-08 03:00,0.0
2015-10-09 03:00,0.0
2015-10-10 03:00,0.0
2015-10-11 03:00,0.0
2015-10-12 03:00,0.0
2015-10-13 03:00,0.0
2015-10-14 03:00,0.0
2015-10-15 03:00,12.8
2015-10-16 03:00,0.0
2015-10-17 03:00,32.8
2015-10-18 03:00,0.0
2015-10-19 03:00,0.0
2015-10-20 03:00,0.0
2015-10-21 03:00,2.0
2015-10-22 03:00,0.0
2015-10-23 03:00,0.0
2015-10-24 03:00,12.0
2015-10-25 03:00,0.0
2015-10-26 03:00,0.0
2015-10-27 03:00,0.0
2015-10-28 03:00,0.0
2015-10-29 03:00,8.4
2015-10-30 03:00,4.0
2015-10-31 03:00,0.0
2015-11-01 03:00,0.0
2015-11-02 03:00,0.0
2015-11-03 03:00,24.6
2015-11-04 03:00,16.0
2015-11-05 03:00,0.0
2015-11-06 03:00,10.0
2015-11-07 03:00,0.0
2015-11-08 03:00,0.0
2015-11-09 03:00,0.0
2015-11-10 03:00,0.0
2015-11-11 03:00,0.0
2015-11-12 03:00,0.0
2015-11-13 03:00,0.0
2015-11-14 03:00,0.0
2015-11-15 03:00,0.0
2015-11-16 03:00,0.0
2015-11-17 03:00,0.0
2015-11-18 03:00,2.0
2015-11-19 03:00,0.0
2015-11-20 03:00,0.0
2015-11-21 03:00,0.0
2015-11-22 03:00,0.0
2015-11-23 03:00,0.0
2015-11-24 03:00,0.0
2015-11-25 03:00,0.0
2015-11-26 03:00,0.0
2015-11-27 03:00,0.0
2015-11-28 03:00,0.0
2015-11-29 03:00,0.0
2015-11-30 03:00,0.0
2015-12-01 03:00,0.0
2015-12-02 03:00,0.0
2015-12-03 03:00,0.0
2015-12-04 03:00,0.0
2015-12-05 03:00,0.0
2015-12-06 03:00,0.0
2015-12-07 03:00,0.0
2015-12-08 03:00,0.0
2015-12-09 03:00,0.0
2015-12-10 03:00,0.0
2015-12-11 03:00,0.0
2015-12-12 03:00,0.0
2015-12-13 03:00,0.0
2015-12-14 03:00,0.0
2015-12-15 03:00,0.0
2015-12-16 03:00,0.0
2015-12-17 03:00,0.0
2015-12-18 03:00,0.0
2015-12-19 03:00,0.0
2015-12-20 03:00,0.0
2015-12-21 03:00,0.0
2015-12-22 03:00,0.0
2015-12-23 03:00,0.0
2015-12-24 03:00,0.0
2015-12-25 03:00,0.0
2015-12-26 03:00,0.0
2015-12-27 03:00,0.0
2015-12-28 03:00,0.0
2015-12-29 03:00,0.0
2015-12-30 03:00,0.0
2015-12-31 03:00,0.0
2016-01-01 03:00,0.0
2016-01-02 03:00,0.0
2016-01-03 03:00,0.0
2016-01-04 03:00,0.0
2016-01-05 03:00,0.0
2016-01-06 03:00,0.0
2016-01-07 03:00,0.0
2016-01-08 03:00,0.0
2016-01-09 03:00,10.0
2016-01-10 03:00,0.0
2016-01-11 03:00,0.0
2016-01-12 03:00,0.0
2016-01-13 03:00,0.0
2016-01-14 03:00,0.0
2016-01-15 03:00,0.0
2016-01-16 03:00,0.0
2016-01-17 03:00,0.0
2016-01-18 03:00,0.0
2016-01-19 03:00,0.0
2016-01-20 03:00,0.0
2016-01-21 03:00,0.0
2016-01-22 03:00,0.0
2016-01-23 03:00,0.0
2016-01-24 03:00,0.0
2016-01-25 03:00,0.0
2016-01-26 03:00,0.0
2016-01-27 03:00,0.0
2016-01-28 03:00,0.0
2016-01-29 03:00,0.0
2016-01-30 03:00,0.0
2016-01-31 03:00,0.0
2016-02-01 03:00,0.0
2016-02-02 03:00,0.0
2016-02-03 03:00,0.0
2016-02-04 03:00,0.0
2016-02-05 03:00,0.0
2016-02-06 03:00,0.0
2016-02-07 03:00,0.0
2016-02-08 03:00,0.0
2016-02-09 03:00,0.0
2016-02-10 03:00,0.0
2016-02-11 03:00,0.0
2016-02-12 03:00,0.0
2016-02-13 03:00,0.0
2016-02-14 03:00,0.0
2016-02-15 03:00,0.0
2016-02-16 03:00,0.0
2016-02-17 03:00,0.0
2016-02-18 03:00,0.0
2016-02-19 03:00,0.0
2016-02-20 03:00,0.0
2016-02-21 03:00,0.0
2016-02-22 03:00,0.0
2016-02-23 03:00,0.0
2016-02-24 03:00,0.0
2016-02-25 03:00,2.6
2016-02-26 03:00,0.0
2016-02-27 03:00,0.0
2016-02-28 03:00,0.0
2016-02-29 03:00,0.0
2016-03-01 03:00,0.0
2016-03-02 03:00,0.0
2016-03-03 03:00,0.0
2016-03-04 03:00,2.0
2016-03-05 03:00,2.6
2016-03-06 03:00,30.0
2016-03-07 03:00,0.0
2016-03-08 03:00,0.0
2016-03-09 03:00,0.0
2016-03-10 03:00,0.0
2016-03-11 03:00,0.0
2016-03-12 03:00,0.0
2016-03-13 03:00,0.0
2016-03-14 03:00,10.2
2016-03-15 03:00,4.2
2016-03-16 03:00,0.0
2016-03-17 03:00,0.0
2016-03-18 03:00,0.0
2016-03-19 03:00,0.0
2016-03-20 03:00,0.0
2016-03-21 03:00,0.0
2016-03-22 03:00,0.0
2016-03-23 03:00,0.0
2016-03-24 03:00,0.0
2016-03-25 03:00,0.0
2016-03-26 03:00,0.0
2016-03-27 03:00,0.0
2016-03-28 03:00,20.8
2016-03-29 03:00,10.4
2016-03-30 03:00,0.0
2016-03-31 03:00,10.0
2016-04-01 03:00,0.0
2016-04-02 03:00,8.8
2016-04-03 03:00,0.0
2016-04-04 03:00,0.0
2016-04-05 03:00,0.0
2016-04-06 03:00,2.4
2016-04-07 03:00,0.0
2016-04-08 03:00,0.0
2016-04-09 03:00,0.0
2016-04-10 03:00,0.0
2016-04-11 03:00,0.0
2016-04-12 03:00,0.0
2016-04-13 03:00,0.0
2016-04-14 03:00,2.2
2016-04-15 03:00,0.0
2016-04-16 03:00,0.0
2016-04-17 03:00,0.0
2016-04-18 03:00,0.0
2016-04-19 03:00,16.0
2016-04-20 03:00,0.0
2016-04-21 03:00,0.0
2016-04-22 03:00,0.0
2016-04-23 03:00,0.0
2016-04-24 03:00,0.0
2016-04-25 03:00,0.0
2016-04-26 03:00,0.0
2016-04-27 03:00,0.0
2016-04-28 03:00,0.0
2016-04-29 03:00,0.0
2016-04-30 03:00,0.0
2016-05-01 03:00,0.0
2016-05-02 03:00,0.0
2016-05-03 03:00,0.0
2016-05-04 03:00,0.0
2016-05-05 03:00,0.0
2016-05-06 03:00,2.0
2016-05-07 03:00,4.2
2016-05-08 03:00,0.0
2016-05-09 03:00,0.0
2016-05-10 03:00,0.0
2016-05-11 03:00,0.0
2016-05-12 03:00,0.0
2016-05-13 03:00,4.8
2016-05-14 03:00,8.0
2016-05-15 03:00,8.6
2016-05-16 03:00,8.4
2016-05-17 03:00,14.6
2016-05-18 03:00,4.0
2016-05-19 03:00,0.0
2016-05-20 03:00,46.6
2016-05-21 03:00,16.4
2016-05-22 03:00,0.0
2016-05-23 03:00,0.0
2016-05-24 03:00,0.0
2016-05-25 03:00,2.0
2016-05-26 03:00,10.0
2016-05-27 03:00,0.0
2016-05-28 03:00,90.8
2016-05-29 03:00,42.2
2016-05-30 03:00,2.0
2016-05-31 03:00,30.0
2016-06-01 03:00,0.0
2016-06-02 03:00,18.2
2016-06-03 03:00,0.0
2016-06-04 03:00,0.0
2016-06-05 03:00,0.0
2016-06-06 03:00,16.0
2016-06-07 03:00,4.2
2016-06-08 03:00,0.0
