Date,Sum of Precipitation ,Average Air Temperature,Average Relative Humidity,Average Wind speed ,Week
08/05/2022,139,23.31,77.69,1.62,2
15/05/2022,63,25.06,80.61,1.80,3
22/05/2022,83,22.95,83.06,1.73,4
29/05/2022,40.4,23.17,83.14,1.56,1
05/06/2022,169.6,25.19,86.54,1.68,2
12/06/2022,127.8,25.34,88.76,1.44,3
19/06/2022,137,25.15,89.26,1.64,4
26/06/2022,214.8,26.10,86.39,1.59,1
03/07/2022,264.2,25.09,91.88,1.43,2
10/07/2022,182.8,26.60,87.93,1.72,3
17/07/2022,1.2,27.49,81.40,1.70,4
