Time,Pokhara Airport,Lumle,Begnas
05/18/2015 12:00:00,29.7,22,30.5
05/19/2015 12:00:00,32.3,23.5,33.6
05/20/2015 12:00:00,31.9,24,33.5
05/21/2015 12:00:00,30.8,23.5,32
05/22/2015 12:00:00,31.8,24.5,33
05/23/2015 12:00:00,32.5,25.5,34
05/24/2015 12:00:00,31.4,24.5,33
05/25/2015 12:00:00,31.7,24.5,33.2
05/26/2015 12:00:00,31,24.5,32.5
05/27/2015 12:00:00,31.6,24.5,32.4
05/28/2015 12:00:00,31.7,24.2,33
05/29/2015 12:00:00,32.3,26,34
05/30/2015 12:00:00,31.5,24.5,33.5
05/31/2015 12:00:00,32.2,25,33.8
06/01/2015 12:00:00,32.5,25,33.9
06/02/2015 12:00:00,33.4,26,35
06/03/2015 12:00:00,32.7,26,34.4
06/04/2015 12:00:00,31,25.4,32
06/05/2015 12:00:00,33.3,25.7,34.5
06/06/2015 12:00:00,34,26.5,36
06/07/2015 12:00:00,34.1,26.5,36
06/08/2015 12:00:00,34.2,27,36
06/09/2015 12:00:00,33.7,26.5,35.5
06/10/2015 12:00:00,31.7,25,33
06/11/2015 12:00:00,29.4,22.5,30.2
06/12/2015 12:00:00,29.7,25,31.6
06/13/2015 12:00:00,31.2,23.5,32.2
06/14/2015 12:00:00,30.7,24,32.2
06/15/2015 12:00:00,30.1,23,31
06/16/2015 12:00:00,31,23,32.5
06/17/2015 12:00:00,31.7,24,33
06/18/2015 12:00:00,33.2,25.5,35
06/19/2015 12:00:00,31.1,24.5,32.5
06/20/2015 12:00:00,32.4,25,34
06/21/2015 12:00:00,31.9,26,34
06/22/2015 12:00:00,32.5,25.5,33.5
06/23/2015 12:00:00,31.6,24.5,33.5
06/24/2015 12:00:00,30.5,23,32
06/25/2015 12:00:00,29.8,23.5,30.5
06/26/2015 12:00:00,30.1,23.5,31.4
06/27/2015 12:00:00,28.2,22,29
06/28/2015 12:00:00,30.1,23.5,31
06/29/2015 12:00:00,30.2,22.5,32
06/30/2015 12:00:00,32.3,25,33.5
07/01/2015 12:00:00,31.7,24.5,32.5
07/02/2015 12:00:00,32.4,25,34.2
07/03/2015 12:00:00,32.4,24,34
07/04/2015 12:00:00,33.5,25.5,34.4
07/05/2015 12:00:00,30.7,23.5,31
07/06/2015 12:00:00,30.4,24,32.4
07/07/2015 12:00:00,31.5,26,33
07/08/2015 12:00:00,32.9,25.5,34
07/09/2015 12:00:00,31.5,24,33.6
07/10/2015 12:00:00,30.7,24.5,33
07/11/2015 12:00:00,28.3,22.5,29
07/12/2015 12:00:00,28.3,24.5,33.3
07/13/2015 12:00:00,32.8,24,34.5
07/14/2015 12:00:00,33,24.5,34.8
07/15/2015 12:00:00,29.9,23.6,29
07/16/2015 12:00:00,26.4,21.5,32.5
07/17/2015 12:00:00,31.2,22.5,33
07/18/2015 12:00:00,31.7,24,33.5
07/19/2015 12:00:00,31.5,23.5,31
07/20/2015 12:00:00,31.9,23,33.5
07/21/2015 12:00:00,30.3,22.5,32.6
07/22/2015 12:00:00,30.5,23.5,32.5
07/23/2015 12:00:00,31.2,23.8,32
07/24/2015 12:00:00,31.2,23,33
07/25/2015 12:00:00,28.8,20.5,31.5
07/26/2015 12:00:00,32.3,25,34
07/27/2015 12:00:00,32.4,25,34
