Time,Pokhara Airport,Lumle,Begnas,Lamachour
11/28/2015 03:00:00,0,0,0,0
11/29/2015 03:00:00,0,0,0,0
11/30/2015 03:00:00,0,0,0,0
12/01/2015 3:00,0,0,0,0
12/02/2015 3:00,0,0,0,0
12/03/2015 3:00,0,0,0,0
12/04/2015 3:00,0,0,0,0
12/05/2015 3:00,0,0,0,0
12/06/2015 3:00,0,0,0,0
12/07/2015 3:00,0,0,0,0
12/08/2015 3:00,0,0,0,0
12/09/2015 3:00,0,0,0,0
12/10/2015 3:00,0,0,0,0
12/11/2015 3:00,0,0,0,0
12/12/2015 3:00,0,0,0,0
12/13/2015 03:00:00,0,0,0,0
12/14/2015 03:00:00,0,0,0,0
12/15/2015 03:00:00,0,0,0,0
12/16/2015 03:00:00,0,0,0,0
12/17/2015 03:00:00,0,0,0,0
12/18/2015 03:00:00,0,0,0,0
12/19/2015 03:00:00,0,0,0,0
12/20/2015 03:00:00,0,0,0,0
12/21/2015 03:00:00,0,0,0,0
12/22/2015 03:00:00,0,0,0,0
12/23/2015 03:00:00,0,0,0,0
12/24/2015 03:00:00,0,0,0,0
12/25/2015 03:00:00,0,0,0,0
12/26/2015 03:00:00,0,0,0,0
12/27/2015 03:00:00,0,0,0,0
12/28/2015 03:00:00,0,0,0,0
12/29/2015 03:00:00,0,0,0,0
12/30/2015 03:00:00,0,0,0,0
12/31/2015 03:00:00,0,0,0,0
01/01/2016 3:00,0,0,0,0
01/02/2016 3:00,0,0,0,0
01/03/2016 3:00,0,0,0,0
01/04/2016 3:00,0,0,0,0
01/05/2016 3:00,0,0,0,0
01/06/2016 3:00,0,0,0,0
01/07/2016 3:00,0,0,0,0
01/08/2016 3:00,0,0,0,0
01/09/2016 3:00,0.1,0,0,10
01/10/2016 3:00,0,0,0,0
01/11/2016 3:00,0,0,0,0
01/12/2016 3:00,0,0,0,0
01/13/2016 03:00:00,0,0,0,0
01/14/2016 03:00:00,0,0,0,0
01/15/2016 03:00:00,0,0,0,0
01/16/2016 03:00:00,0,0,0,0
01/17/2016 03:00:00,0,0,0,0
01/18/2016 03:00:00,0,0,0,0
01/19/2016 03:00:00,0,0,0,0
01/20/2016 03:00:00,0,0,1.5,0
01/21/2016 03:00:00,2.1,4.5,5.2,0
01/22/2016 03:00:00,0.1,0,0,0
01/23/2016 03:00:00,0,0,0,0
01/24/2016 03:00:00,0,0,0,0
01/25/2016 03:00:00,0,0,0,0
01/26/2016 03:00:00,0,0,0,0
01/27/2016 03:00:00,0,2.8,0,0
01/28/2016 03:00:00,0,0,0,0
01/29/2016 03:00:00,0,0,0,0
01/30/2016 03:00:00,0,0,0,0
01/31/2016 03:00:00,0,0,0,0
02/01/2016 3:00,0,0,0,0
02/02/2016 3:00,0,0,0,0
02/03/2016 3:00,0,0,0,0
02/04/2016 3:00,0,0,0,0
02/05/2016 3:00,0,0,0,0
02/06/2016 3:00,0,0,0,0
02/07/2016 3:00,0,0,0,0
02/08/2016 3:00,0.1,1.2,0,0
