,Time,Pokhara Airport,Lumle,Begnas,Lamachour
102,2015-04-13 03:00:00,16.1,19.6,9.2,8.0
103,2015-04-14 03:00:00,2.7,2.4,3.6,4.0
104,2015-04-15 03:00:00,0.0,0.5,0.0,0.0
105,2015-04-16 03:00:00,0.0,0.0,0.0,0.0
106,2015-04-17 03:00:00,0.0,0.0,0.0,0.0
107,2015-04-18 03:00:00,0.4,4.0,1.0,0.0
108,2015-04-19 03:00:00,0.4,0.4,0.0,0.0
109,2015-04-20 03:00:00,0.0,1.6,0.0,10.6
110,2015-04-21 03:00:00,0.0,0.0,3.2,0.0
111,2015-04-22 03:00:00,25.4,0.0,14.8,4.4
112,2015-04-23 03:00:00,24.7,9.6,27.2,6.0
113,2015-04-24 03:00:00,0.0,1.0,0.0,0.0
114,2015-04-25 03:00:00,1.4,2.4,0.0,2.0
115,2015-04-26 03:00:00,0.0,6.7,0.0,6.2
116,2015-04-27 03:00:00,0.0,0.0,4.0,0.0
117,2015-04-28 03:00:00,0.0,0.0,1.2,0.0
118,2015-04-29 03:00:00,15.1,5.5,0.0,4.0
119,2015-04-30 03:00:00,38.2,17.6,30.0,30.6
120,2015-05-01 03:00:00,0.7,8.5,0.0,2.2
121,2015-05-02 03:00:00,0.0,0.0,2.0,0.0
122,2015-05-03 03:00:00,13.5,41.0,44.3,10.8
123,2015-05-04 03:00:00,0.0,0.2,0.0,0.0
124,2015-05-05 03:00:00,0.0,19.0,0.0,0.0
125,2015-05-06 03:00:00,0.0,1.0,0.0,0.0
126,2015-05-07 03:00:00,0.0,1.0,0.0,0.0
127,2015-05-08 03:00:00,10.1,0.0,0.0,0.0
128,2015-05-09 03:00:00,17.8,19.5,7.6,2.0
129,2015-05-10 03:00:00,0.0,1.8,10.9,0.0
130,2015-05-11 03:00:00,29.6,2.4,0.0,0.0
131,2015-05-12 03:00:00,0.0,49.0,27.8,10.6
132,2015-05-13 03:00:00,5.5,0.5,0.0,0.0
133,2015-05-14 03:00:00,0.0,7.2,0.0,0.0
134,2015-05-15 03:00:00,0.0,0.0,0.0,2.0
135,2015-05-16 03:00:00,0.5,1.0,0.0,0.0
136,2015-05-17 03:00:00,0.0,38.0,0.0,0.0
137,2015-05-18 03:00:00,6.7,8.4,18.2,30.0
138,2015-05-19 03:00:00,0.0,0.0,0.0,0.0
139,2015-05-20 03:00:00,5.7,6.2,7.6,10.0
140,2015-05-21 03:00:00,34.5,0.2,20.8,2.0
141,2015-05-22 03:00:00,8.0,32.5,7.2,46.4
142,2015-05-23 03:00:00,0.0,0.0,0.0,0.0
143,2015-05-24 03:00:00,12.6,0.0,29.8,0.0
144,2015-05-25 03:00:00,1.6,1.2,4.2,2.0
145,2015-05-26 03:00:00,2.0,9.4,0.0,0.0
146,2015-05-27 03:00:00,6.2,3.4,10.0,4.8
147,2015-05-28 03:00:00,16.9,4.7,20.6,8.4
148,2015-05-29 03:00:00,37.4,5.7,0.0,6.0
149,2015-05-30 03:00:00,0.7,16.2,9.2,2.0
150,2015-05-31 03:00:00,3.8,0.0,26.2,4.0
151,2015-06-01 03:00:00,22.5,2.0,36.9,38.2
152,2015-06-02 03:00:00,3.5,1.0,3.2,4.0
153,2015-06-03 03:00:00,8.4,0.0,0.5,4.8
154,2015-06-04 03:00:00,0.0,9.0,0.0,0.0
155,2015-06-05 03:00:00,0.1,4.8,0.0,0.0
156,2015-06-06 03:00:00,0.0,0.0,0.0,0.0
157,2015-06-07 03:00:00,0.0,0.0,0.0,0.0
158,2015-06-08 03:00:00,0.0,11.2,0.0,0.0
159,2015-06-09 03:00:00,7.0,0.0,12.0,0.0
160,2015-06-10 03:00:00,42.5,0.5,24.5,0.0
161,2015-06-11 03:00:00,29.2,31.5,34.6,10.8
162,2015-06-12 03:00:00,77.2,13.5,74.8,62.2
163,2015-06-13 03:00:00,28.8,2.7,48.6,10.4
164,2015-06-14 03:00:00,12.3,37.7,11.2,8.8
165,2015-06-15 03:00:00,0.0,14.7,5.2,2.0
166,2015-06-16 03:00:00,0.0,0.0,0.0,0.0
167,2015-06-17 03:00:00,8.8,37.5,1.8,30.4
168,2015-06-18 03:00:00,0.0,0.0,0.0,0.0
169,2015-06-19 03:00:00,7.1,60.5,5.4,8.0
170,2015-06-20 03:00:00,2.6,2.4,0.0,10.2
171,2015-06-21 03:00:00,58.6,40.7,43.2,50.4
172,2015-06-22 03:00:00,2.3,45.7,0.0,42.0
173,2015-06-23 03:00:00,6.9,9.4,22.5,4.6
174,2015-06-24 03:00:00,68.8,48.5,36.2,40.8
175,2015-06-25 03:00:00,52.9,35.0,12.8,46.6
176,2015-06-26 03:00:00,0.1,0.0,0.0,0.0
177,2015-06-27 03:00:00,40.7,38.0,43.3,48.0
178,2015-06-28 03:00:00,6.1,6.5,6.2,6.2
179,2015-06-29 03:00:00,20.5,35.0,8.0,30.8
180,2015-06-30 03:00:00,0.0,2.0,0.0,2.0
181,2015-07-01 03:00:00,0.6,47.5,10.2,0.0
182,2015-07-02 03:00:00,1.6,57.9,0.0,42.0
183,2015-07-03 03:00:00,22.5,64.4,64.3,18.6
184,2015-07-04 03:00:00,7.8,9.0,32.5,106.0
185,2015-07-05 03:00:00,41.1,7.5,8.0,42.2
186,2015-07-06 03:00:00,0.1,66.2,0.0,0.0
187,2015-07-07 03:00:00,12.0,75.6,0.0,10.4
188,2015-07-08 03:00:00,6.9,146.2,0.0,8.0
189,2015-07-09 03:00:00,12.3,41.8,6.4,10.6
190,2015-07-10 03:00:00,0.4,11.0,4.2,2.0
191,2015-07-11 03:00:00,27.7,36.2,0.0,16.2
192,2015-07-12 03:00:00,0.8,4.6,20.8,2.0
193,2015-07-13 03:00:00,0.0,0.0,1.2,0.0
194,2015-07-14 03:00:00,10.9,14.7,0.0,8.6
195,2015-07-15 03:00:00,96.8,63.2,0.0,50.0
196,2015-07-16 03:00:00,223.7,142.6,47.3,160.0
197,2015-07-17 03:00:00,84.2,30.7,184.8,40.4
198,2015-07-18 03:00:00,15.8,20.5,22.0,50.2
199,2015-07-19 03:00:00,8.6,21.8,32.2,76.0
200,2015-07-20 03:00:00,56.7,35.7,16.2,50.4
201,2015-07-21 03:00:00,0.6,14.9,8.2,30.2
202,2015-07-22 03:00:00,23.1,40.9,1.8,32.0
203,2015-07-23 03:00:00,6.2,44.9,14.0,10.8
204,2015-07-24 03:00:00,10.6,83.4,5.5,18.0
205,2015-07-25 03:00:00,4.4,131.1,10.2,10.4
206,2015-07-26 03:00:00,10.2,14.4,0.0,8.0
207,2015-07-27 03:00:00,8.4,44.4,0.0,80.0
208,2015-07-28 03:00:00,37.1,42.2,136.4,10.6
209,2015-07-29 03:00:00,19.3,5.2,78.6,4.8
210,2015-07-30 03:00:00,116.4,288.7,71.6,130.4
211,2015-07-31 03:00:00,56.2,42.4,165.3,46.6
212,2015-08-01 03:00:00,45.7,34.5,31.0,10.8
213,2015-08-02 03:00:00,5.9,49.0,19.6,12.4
214,2015-08-03 03:00:00,0.0,5.0,0.0,10.6
215,2015-08-04 03:00:00,2.2,23.7,1.8,86.2
216,2015-08-05 03:00:00,3.9,8.5,20.0,10.0
217,2015-08-06 03:00:00,5.6,21.0,7.2,8.4
218,2015-08-07 03:00:00,8.1,15.2,26.8,8.6
219,2015-08-08 03:00:00,0.0,14.2,0.0,0.0
220,2015-08-09 03:00:00,9.8,6.5,17.0,4.0
221,2015-08-10 03:00:00,45.2,31.0,55.2,8.2
222,2015-08-11 03:00:00,70.5,85.6,67.3,80.0
223,2015-08-12 03:00:00,0.0,0.0,0.0,2.8
224,2015-08-13 03:00:00,45.5,66.1,0.0,40.0
225,2015-08-14 03:00:00,5.0,25.4,5.9,22.6
226,2015-08-15 03:00:00,69.7,30.0,42.0,36.4
227,2015-08-16 03:00:00,33.8,42.7,0.0,8.8
228,2015-08-17 03:00:00,68.6,8.9,3.2,38.2
229,2015-08-18 03:00:00,5.2,120.5,5.8,78.8
230,2015-08-19 03:00:00,5.3,19.2,1.4,8.6
231,2015-08-20 03:00:00,24.0,20.0,22.8,10.0
232,2015-08-21 03:00:00,101.4,32.2,92.3,76.0
233,2015-08-22 03:00:00,31.1,72.2,29.2,86.2
234,2015-08-23 03:00:00,3.5,126.7,0.5,30.0
235,2015-08-24 03:00:00,0.0,6.0,7.3,56.4
236,2015-08-25 03:00:00,0.0,6.9,0.0,38.0
237,2015-08-26 03:00:00,0.0,160.7,0.0,0.0
238,2015-08-27 03:00:00,51.7,31.0,29.8,46.6
239,2015-08-28 03:00:00,34.7,17.5,0.0,56.0
240,2015-08-29 03:00:00,60.9,71.5,42.0,50.2
241,2015-08-30 03:00:00,0.0,41.3,95.3,128.0
242,2015-08-31 03:00:00,44.5,0.0,10.2,10.2
243,2015-09-01 03:00:00,131.7,68.0,30.5,16.0
244,2015-09-02 03:00:00,48.2,1.0,17.9,10.4
245,2015-09-03 03:00:00,10.8,15.5,32.2,8.6
246,2015-09-04 03:00:00,0.0,14.6,0.0,0.0
247,2015-09-05 03:00:00,2.9,0.0,0.0,0.0
248,2015-09-06 03:00:00,1.1,32.2,0.0,80.0
249,2015-09-07 03:00:00,0.0,0.0,0.0,0.0
250,2015-09-08 03:00:00,7.1,3.6,0.0,10.2
