Time,Pokhara Airport,Lumle,Begnas,Lamachour,Date
05/07/2015 3:00,0,1,0,0,2015
05/08/2015 3:00,10.1,0,0,0,2015
05/09/2015 3:00,17.8,19.5,7.6,2,2015
05/10/2015 3:00,0,1.8,10.9,0,2015
05/11/2015 3:00,29.6,2.4,0,0,2015
05/12/2015 3:00,0,49,27.8,10.6,2015
05/13/2015 03:00:00,5.5,0.5,0,0,2015
05/14/2015 03:00:00,0,7.2,0,0,2015
05/15/2015 03:00:00,0,0,0,2,2015
05/16/2015 03:00:00,0.5,1,0,0,2015
05/17/2015 03:00:00,0,38,0,0,2015
05/18/2015 03:00:00,6.7,8.4,18.2,30,2015
05/19/2015 03:00:00,0,0,0,0,2015
05/20/2015 03:00:00,5.7,6.2,7.6,10,2015
05/21/2015 03:00:00,34.5,0.2,20.8,2,2015
05/22/2015 03:00:00,8,32.5,7.2,46.4,2015
05/23/2015 03:00:00,0,0,0,0,2015
05/24/2015 03:00:00,12.6,0,29.8,0,2015
05/25/2015 03:00:00,1.6,1.2,4.2,2,2015
05/26/2015 03:00:00,2,9.4,0,0,2015
05/27/2015 03:00:00,6.2,3.4,10,4.8,2015
05/28/2015 03:00:00,16.9,4.7,20.6,8.4,2015
05/29/2015 03:00:00,37.4,5.7,0,6,2015
05/30/2015 03:00:00,0.7,16.2,9.2,2,2015
05/31/2015 03:00:00,3.8,0,26.2,4,2015
06/01/2015 3:00,22.5,2,36.9,38.2,2015
06/02/2015 3:00,3.5,1,3.2,4,2015
06/03/2015 3:00,8.4,0,0.5,4.8,2015
06/04/2015 3:00,0,9,0,0,2015
06/05/2015 3:00,0.1,4.8,0,0,2015
06/06/2015 3:00,0,0,0,0,2015
06/07/2015 3:00,0,0,0,0,2015
06/08/2015 3:00,0,11.2,0,0,2015
06/09/2015 3:00,7,0,12,0,2015
06/10/2015 3:00,42.5,0.5,24.5,0,2015
06/11/2015 3:00,29.2,31.5,34.6,10.8,2015
06/12/2015 3:00,77.2,13.5,74.8,62.2,2015
06/13/2015 03:00:00,28.8,2.7,48.6,10.4,2015
06/14/2015 03:00:00,12.3,37.7,11.2,8.8,2015
06/15/2015 03:00:00,0,14.7,5.2,2,2015
06/16/2015 03:00:00,0,0,0,0,2015
06/17/2015 03:00:00,8.8,37.5,1.8,30.4,2015
06/18/2015 03:00:00,0,0,0,0,2015
06/19/2015 03:00:00,7.1,60.5,5.4,8,2015
06/20/2015 03:00:00,2.6,2.4,0,10.2,2015
06/21/2015 03:00:00,58.6,40.7,43.2,50.4,2015
06/22/2015 03:00:00,2.3,45.7,0,42,2015
06/23/2015 03:00:00,6.9,9.4,22.5,4.6,2015
06/24/2015 03:00:00,68.8,48.5,36.2,40.8,2015
06/25/2015 03:00:00,52.9,35,12.8,46.6,2015
06/26/2015 03:00:00,0.1,0,0,0,2015
06/27/2015 03:00:00,40.7,38,43.3,48,2015
06/28/2015 03:00:00,6.1,6.5,6.2,6.2,2015
06/29/2015 03:00:00,20.5,35,8,30.8,2015
06/30/2015 03:00:00,0,2,0,2,2015
07/01/2015 3:00,0.6,47.5,10.2,0,2015
07/02/2015 3:00,1.6,57.9,0,42,2015
07/03/2015 3:00,22.5,64.4,64.3,18.6,2015
07/04/2015 3:00,7.8,9,32.5,106,2015
07/05/2015 3:00,41.1,7.5,8,42.2,2015
07/06/2015 3:00,0.1,66.2,0,0,2015
07/07/2015 3:00,12,75.6,0,10.4,2015
07/08/2015 3:00,6.9,146.2,0,8,2015
07/09/2015 3:00,12.3,41.8,6.4,10.6,2015
07/10/2015 3:00,0.4,11,4.2,2,2015
07/11/2015 3:00,27.7,36.2,0,16.2,2015
07/12/2015 3:00,0.8,4.6,20.8,2,2015
07/13/2015 03:00:00,0,0,1.2,0,2015
07/14/2015 03:00:00,10.9,14.7,0,8.6,2015
07/15/2015 03:00:00,96.8,63.2,0,50,2015
07/16/2015 03:00:00,223.7,142.6,47.3,160,2015
07/17/2015 03:00:00,84.2,30.7,184.8,40.4,2015
07/18/2015 03:00:00,15.8,20.5,22,50.2,2015
07/19/2015 03:00:00,8.6,21.8,32.2,76,2015
07/20/2015 03:00:00,56.7,35.7,16.2,50.4,2015
07/21/2015 03:00:00,0.6,14.9,8.2,30.2,2015
07/22/2015 03:00:00,23.1,40.9,1.8,32,2015
07/23/2015 03:00:00,6.2,44.9,14,10.8,2015
07/24/2015 03:00:00,10.6,83.4,5.5,18,2015
07/25/2015 03:00:00,4.4,131.1,10.2,10.4,2015
07/26/2015 03:00:00,10.2,14.4,0,8,2015
07/27/2015 03:00:00,8.4,44.4,0,80,2015
07/28/2015 03:00:00,37.1,42.2,136.4,10.6,2015
07/29/2015 03:00:00,19.3,5.2,78.6,4.8,2015
07/30/2015 03:00:00,116.4,288.7,71.6,130.4,2015
07/31/2015 03:00:00,56.2,42.4,165.3,46.6,2015
08/01/2015 3:00,45.7,34.5,31,10.8,2015
08/02/2015 3:00,5.9,49,19.6,12.4,2015
08/03/2015 3:00,0,5,0,10.6,2015
08/04/2015 3:00,2.2,23.7,1.8,86.2,2015
08/05/2015 3:00,3.9,8.5,20,10,2015
08/06/2015 3:00,5.6,21,7.2,8.4,2015
08/07/2015 3:00,8.1,15.2,26.8,8.6,2015
08/08/2015 3:00,0,14.2,0,0,2015
08/09/2015 3:00,9.8,6.5,17,4,2015
08/10/2015 3:00,45.2,31,55.2,8.2,2015
08/11/2015 3:00,70.5,85.6,67.3,80,2015
08/12/2015 3:00,0,0,0,2.8,2015
08/13/2015 03:00:00,45.5,66.1,0,40,2015
08/14/2015 03:00:00,5,25.4,5.9,22.6,2015
08/15/2015 03:00:00,69.7,30,42,36.4,2015
08/16/2015 03:00:00,33.8,42.7,0,8.8,2015
08/17/2015 03:00:00,68.6,8.9,3.2,38.2,2015
08/18/2015 03:00:00,5.2,120.5,5.8,78.8,2015
08/19/2015 03:00:00,5.3,19.2,1.4,8.6,2015
08/20/2015 03:00:00,24,20,22.8,10,2015
08/21/2015 03:00:00,101.4,32.2,92.3,76,2015
08/22/2015 03:00:00,31.1,72.2,29.2,86.2,2015
08/23/2015 03:00:00,3.5,126.7,0.5,30,2015
08/24/2015 03:00:00,0,6,7.3,56.4,2015
08/25/2015 03:00:00,0,6.9,0,38,2015
08/26/2015 03:00:00,0,160.7,0,0,2015
08/27/2015 03:00:00,51.7,31,29.8,46.6,2015
08/28/2015 03:00:00,34.7,17.5,0,56,2015
08/29/2015 03:00:00,60.9,71.5,42,50.2,2015
08/30/2015 03:00:00,0,41.3,95.3,128,2015
08/31/2015 03:00:00,44.5,0,10.2,10.2,2015
09/01/2015 3:00,131.7,68,30.5,16,2015
09/02/2015 3:00,48.2,1,17.9,10.4,2015
09/03/2015 3:00,10.8,15.5,32.2,8.6,2015
09/04/2015 3:00,0,14.6,0,0,2015
09/05/2015 3:00,2.9,0,0,0,2015
09/06/2015 3:00,1.1,32.2,0,80,2015
09/07/2015 3:00,0,0,0,0,2015
09/08/2015 3:00,7.1,3.6,0,10.2,2015
09/09/2015 3:00,8.5,9.4,0,8,2015
09/10/2015 3:00,0,11.2,0,0,2015
09/11/2015 3:00,2.9,26.5,5,2.8,2015
09/12/2015 3:00,51.1,30.2,96.8,50,2015
09/13/2015 03:00:00,10.8,7.6,10.9,10.2,2015
09/14/2015 03:00:00,53.4,88.8,29,44,2015
09/15/2015 03:00:00,130.2,64.6,46.3,70.4,2015
09/16/2015 03:00:00,0,0,0,0,2015
09/17/2015 03:00:00,0,1,0,0,2015
09/18/2015 03:00:00,0,6.6,0,0,2015
09/19/2015 03:00:00,0,0,0,0,2015
09/20/2015 03:00:00,58.4,21.5,22.2,30.6,2015
09/21/2015 03:00:00,0,13.2,0,0,2015
09/22/2015 03:00:00,61,48.9,24.8,116,2015
09/23/2015 03:00:00,23.4,19.8,73.4,20.4,2015
09/24/2015 03:00:00,9.5,12,1.8,10,2015
09/25/2015 03:00:00,90.5,65.3,1.8,120.2,2015
09/26/2015 03:00:00,1.2,39,0,2.8,2015
09/27/2015 03:00:00,0,0,0,0,2015
09/28/2015 03:00:00,0.2,0.8,0,16,2015
09/29/2015 03:00:00,0,0.4,0,2.8,2015
09/30/2015 03:00:00,0,0,0,0,2015
10/01/2015 3:00,0,0.8,0,0,2015
10/02/2015 3:00,78.4,0,2.6,30,2015
10/03/2015 3:00,4.1,4,0,10.8,2015
10/04/2015 3:00,0,0,0,0,2015
10/05/2015 3:00,0,0,0,0,2015
10/06/2015 3:00,0,0,0,0,2015
10/07/2015 3:00,0,0,0,0,2015
10/08/2015 3:00,0,0,0,0,2015
10/09/2015 3:00,0,0,0,0,2015
10/10/2015 3:00,19,0,0,0,2015
10/11/2015 3:00,0,61.6,0,0,2015
10/12/2015 3:00,33.1,21,20.4,0,2015
10/13/2015 03:00:00,0,0,0,0,2015
10/14/2015 03:00:00,0,0,0,0,2015
10/15/2015 03:00:00,38.9,10,34.5,12.8,2015
10/16/2015 03:00:00,0.6,1.2,0,0,2015
10/17/2015 03:00:00,16.2,4.7,22.6,32.8,2015
10/18/2015 03:00:00,0,0,0,0,2015
10/19/2015 03:00:00,0,0,0,0,2015
10/20/2015 03:00:00,0,0,0,0,2015
10/21/2015 03:00:00,0,13,0,2,2015
10/22/2015 03:00:00,1.4,0,0,0,2015
10/23/2015 03:00:00,0,0,0,0,2015
10/24/2015 03:00:00,5.1,0,2,12,2015
10/25/2015 03:00:00,0,0,0,0,2015
10/26/2015 03:00:00,0,0,0,0,2015
10/27/2015 03:00:00,0,0,0,0,2015
10/28/2015 03:00:00,0,0,0,0,2015
10/29/2015 03:00:00,13.3,15.4,9.8,8.4,2015
10/30/2015 03:00:00,5.1,12,5.2,4,2015
10/31/2015 03:00:00,0,0,0,0,2015
11/01/2015 3:00,0,0,0,0,2015
11/02/2015 3:00,0,0,0,0,2015
11/03/2015 3:00,2.1,0,0,24.6,2015
11/04/2015 3:00,0.8,0,0,16,2015
11/05/2015 3:00,0,0,0,0,2015
11/06/2015 3:00,0,0,0,10,2015
11/07/2015 3:00,0,0,0,0,2015
11/08/2015 3:00,0,0,0,0,2015
11/09/2015 3:00,0,0,0,0,2015
11/10/2015 3:00,0,0,0,0,2015
11/11/2015 3:00,0,0,0,0,2015
11/12/2015 3:00,0,0,0,0,2015
11/13/2015 03:00:00,0,0,0,0,2015
11/14/2015 03:00:00,0,0,0,0,2015
11/15/2015 03:00:00,0,0,0,0,2015
11/16/2015 03:00:00,0,0,0,0,2015
11/17/2015 03:00:00,0,0,0,0,2015
11/18/2015 03:00:00,0,0,0,2,2015
11/19/2015 03:00:00,0,0,0,0,2015
11/20/2015 03:00:00,0,0,0,0,2015
11/21/2015 03:00:00,0,0,0,0,2015
11/22/2015 03:00:00,0,0,0,0,2015
11/23/2015 03:00:00,0,0,0,0,2015
11/24/2015 03:00:00,0,0,0,0,2015
11/25/2015 03:00:00,0,0,0,0,2015
11/26/2015 03:00:00,0,0,0,0,2015
11/27/2015 03:00:00,0,0,0,0,2015
11/28/2015 03:00:00,0,0,0,0,2015
11/29/2015 03:00:00,0,0,0,0,2015
11/30/2015 03:00:00,0,0,0,0,2015
12/01/2015 3:00,0,0,0,0,2015
12/02/2015 3:00,0,0,0,0,2015
12/03/2015 3:00,0,0,0,0,2015
12/04/2015 3:00,0,0,0,0,2015
12/05/2015 3:00,0,0,0,0,2015
12/06/2015 3:00,0,0,0,0,2015
12/07/2015 3:00,0,0,0,0,2015
12/08/2015 3:00,0,0,0,0,2015
12/09/2015 3:00,0,0,0,0,2015
12/10/2015 3:00,0,0,0,0,2015
12/11/2015 3:00,0,0,0,0,2015
12/12/2015 3:00,0,0,0,0,2015
12/13/2015 03:00:00,0,0,0,0,2015
12/14/2015 03:00:00,0,0,0,0,2015
12/15/2015 03:00:00,0,0,0,0,2015
12/16/2015 03:00:00,0,0,0,0,2015
12/17/2015 03:00:00,0,0,0,0,2015
12/18/2015 03:00:00,0,0,0,0,2015
12/19/2015 03:00:00,0,0,0,0,2015
12/20/2015 03:00:00,0,0,0,0,2015
12/21/2015 03:00:00,0,0,0,0,2015
12/22/2015 03:00:00,0,0,0,0,2015
12/23/2015 03:00:00,0,0,0,0,2015
12/24/2015 03:00:00,0,0,0,0,2015
12/25/2015 03:00:00,0,0,0,0,2015
12/26/2015 03:00:00,0,0,0,0,2015
12/27/2015 03:00:00,0,0,0,0,2015
12/28/2015 03:00:00,0,0,0,0,2015
12/29/2015 03:00:00,0,0,0,0,2015
12/30/2015 03:00:00,0,0,0,0,2015
12/31/2015 03:00:00,0,0,0,0,2015
01/01/2016 3:00,0,0,0,0,2016
01/02/2016 3:00,0,0,0,0,2016
01/03/2016 3:00,0,0,0,0,2016
01/04/2016 3:00,0,0,0,0,2016
01/05/2016 3:00,0,0,0,0,2016
01/06/2016 3:00,0,0,0,0,2016
01/07/2016 3:00,0,0,0,0,2016
01/08/2016 3:00,0,0,0,0,2016
01/09/2016 3:00,0.1,0,0,10,2016
01/10/2016 3:00,0,0,0,0,2016
01/11/2016 3:00,0,0,0,0,2016
01/12/2016 3:00,0,0,0,0,2016
01/13/2016 03:00:00,0,0,0,0,2016
01/14/2016 03:00:00,0,0,0,0,2016
01/15/2016 03:00:00,0,0,0,0,2016
01/16/2016 03:00:00,0,0,0,0,2016
01/17/2016 03:00:00,0,0,0,0,2016
01/18/2016 03:00:00,0,0,0,0,2016
01/19/2016 03:00:00,0,0,0,0,2016
01/20/2016 03:00:00,0,0,1.5,0,2016
01/21/2016 03:00:00,2.1,4.5,5.2,0,2016
01/22/2016 03:00:00,0.1,0,0,0,2016
01/23/2016 03:00:00,0,0,0,0,2016
01/24/2016 03:00:00,0,0,0,0,2016
01/25/2016 03:00:00,0,0,0,0,2016
01/26/2016 03:00:00,0,0,0,0,2016
01/27/2016 03:00:00,0,2.8,0,0,2016
01/28/2016 03:00:00,0,0,0,0,2016
01/29/2016 03:00:00,0,0,0,0,2016
01/30/2016 03:00:00,0,0,0,0,2016
01/31/2016 03:00:00,0,0,0,0,2016
02/01/2016 3:00,0,0,0,0,2016
02/02/2016 3:00,0,0,0,0,2016
02/03/2016 3:00,0,0,0,0,2016
02/04/2016 3:00,0,0,0,0,2016
02/05/2016 3:00,0,0,0,0,2016
02/06/2016 3:00,0,0,0,0,2016
02/07/2016 3:00,0,0,0,0,2016
02/08/2016 3:00,0.1,1.2,0,0,2016
02/09/2016 3:00,0,3.5,0,0,2016
02/10/2016 3:00,0,0,0,0,2016
02/11/2016 3:00,0,0,0,0,2016
02/12/2016 3:00,0,0,0,0,2016
02/13/2016 03:00:00,0,0,0,0,2016
02/14/2016 03:00:00,0,0,0,0,2016
02/15/2016 03:00:00,0,0,0,0,2016
02/16/2016 03:00:00,0,0,0,0,2016
02/17/2016 03:00:00,0,0,0,0,2016
02/18/2016 03:00:00,0,0,0,0,2016
02/19/2016 03:00:00,0,0,0,0,2016
02/20/2016 03:00:00,0,0,0,0,2016
02/21/2016 03:00:00,0,0,0,0,2016
02/22/2016 03:00:00,0,0,0,0,2016
02/23/2016 03:00:00,0,0,0,0,2016
02/24/2016 03:00:00,0,0,0,0,2016
02/25/2016 03:00:00,0,0.7,0,2.6,2016
02/26/2016 03:00:00,0,0,0,0,2016
02/27/2016 03:00:00,0,2,0,0,2016
02/28/2016 03:00:00,0,3.7,0,0,2016
02/29/2016 03:00:00,0,0.2,0,0,2016
03/01/2016 3:00,0,0,0,0,2016
03/02/2016 3:00,0,0,0,0,2016
03/03/2016 3:00,3.8,2,0,0,2016
03/04/2016 3:00,0.4,6.2,0,2,2016
03/05/2016 3:00,3.4,2.4,0,2.6,2016
03/06/2016 3:00,20.8,16.5,34.6,30,2016
03/07/2016 3:00,8.1,1,2.6,0,2016
03/08/2016 3:00,0.2,0,0,0,2016
03/09/2016 3:00,0,0,3,0,2016
03/10/2016 3:00,0,0,0,0,2016
03/11/2016 3:00,0,0,0,0,2016
03/12/2016 3:00,0,0,0,0,2016
03/13/2016 03:00:00,0,0,0,0,2016
03/14/2016 03:00:00,2.8,0.4,0,10.2,2016
03/15/2016 03:00:00,1.3,0.2,2.1,4.2,2016
03/16/2016 03:00:00,0,0,0,0,2016
03/17/2016 03:00:00,0,0,0,0,2016
03/18/2016 03:00:00,0,0,0,0,2016
03/19/2016 03:00:00,0,0,0,0,2016
03/20/2016 03:00:00,0,0,0,0,2016
03/21/2016 03:00:00,0,0,2,0,2016
03/22/2016 03:00:00,0,0,0,0,2016
03/23/2016 03:00:00,0,0,0,0,2016
03/24/2016 03:00:00,0,0,0,0,2016
03/25/2016 03:00:00,0,0,0,0,2016
03/26/2016 03:00:00,0,0,0,0,2016
03/27/2016 03:00:00,0,0,0,0,2016
03/28/2016 03:00:00,0.9,14,0,20.8,2016
03/29/2016 03:00:00,15.3,3.5,11.7,10.4,2016
03/30/2016 03:00:00,0,0,0,0,2016
03/31/2016 03:00:00,36.5,46,20.2,10,2016
04/01/2016 3:00,1.7,16,0,0,2016
04/02/2016 3:00,6.1,0.2,4.2,8.8,2016
04/03/2016 3:00,1.8,9,1.3,0,2016
04/04/2016 3:00,0,0,0,0,2016
04/05/2016 3:00,8,0,0,0,2016
04/06/2016 3:00,0,4.2,23.6,2.4,2016
04/07/2016 3:00,0,0,0,0,2016
04/08/2016 3:00,0,0,0,0,2016
04/09/2016 3:00,0,0,0,0,2016
04/10/2016 3:00,0,0,0,0,2016
04/11/2016 3:00,0,0,0,0,2016
04/12/2016 3:00,0,0,0,0,2016
04/13/2016 03:00:00,0,0,2,0,2016
04/14/2016 03:00:00,0.7,0,1,2.2,2016
04/15/2016 03:00:00,0,0,0,0,2016
04/16/2016 03:00:00,0,0,12.4,0,2016
04/17/2016 03:00:00,2.7,0,28.7,0,2016
04/18/2016 03:00:00,0.3,0,0,0,2016
04/19/2016 03:00:00,3.3,10.7,0,16,2016
04/20/2016 03:00:00,0,0,0,0,2016
04/21/2016 03:00:00,0,0,0,0,2016
04/22/2016 03:00:00,0,0,0,0,2016
04/23/2016 03:00:00,0,0,0,0,2016
04/24/2016 03:00:00,0,0,0,0,2016
04/25/2016 03:00:00,0,0,0,0,2016
04/26/2016 03:00:00,0,0,0,0,2016
04/27/2016 03:00:00,0,0,0,0,2016
04/28/2016 03:00:00,0,0,0,0,2016
04/29/2016 03:00:00,0,0,0,0,2016
04/30/2016 03:00:00,0,0,0,0,2016
05/01/2016 3:00,0,0,0,0,2016
05/02/2016 3:00,0,0,0,0,2016
05/03/2016 3:00,0,0,0,0,2016
05/04/2016 3:00,0,0.5,0,0,2016
05/05/2016 3:00,0,0,0,0,2016
05/06/2016 3:00,3.1,2.4,10.4,2,2016
05/07/2016 3:00,9,8.4,2,4.2,2016
05/08/2016 3:00,0,0.5,0,0,2016
05/09/2016 3:00,0,0,0,0,2016
05/10/2016 3:00,0,0,0,0,2016
05/11/2016 3:00,0,0,0,0,2016
05/12/2016 3:00,0,0,0,0,2016
05/13/2016 03:00:00,1.4,38,0,4.8,2016
05/14/2016 03:00:00,6,1.8,26,8,2016
05/15/2016 03:00:00,12.1,1.4,41,8.6,2016
05/16/2016 03:00:00,11,18.8,1.2,8.4,2016
05/17/2016 03:00:00,16.1,18.5,34,14.6,2016
05/18/2016 03:00:00,20.7,43,15.2,4,2016
05/19/2016 03:00:00,0,0,0,0,2016
05/20/2016 03:00:00,0.9,5.2,6.8,46.6,2016
05/21/2016 03:00:00,6.7,103.5,7.2,16.4,2016
05/22/2016 03:00:00,0,0.5,0,0,2016
05/23/2016 03:00:00,0,2,0,0,2016
05/24/2016 03:00:00,0.2,6.8,0,0,2016
05/25/2016 03:00:00,2.9,4.7,2.8,2,2016
05/26/2016 03:00:00,12.6,21.4,31,10,2016
05/27/2016 03:00:00,0,1.5,4.6,0,2016
05/28/2016 03:00:00,1.9,17.2,0,90.8,2016
05/29/2016 03:00:00,110.2,21.7,50,42.2,2016
05/30/2016 03:00:00,0.1,0,0,2,2016
05/31/2016 03:00:00,27,0.5,62.2,30,2016
06/01/2016 3:00,0.3,0,0,0,2016
06/02/2016 3:00,2,53.5,0,18.2,2016
06/03/2016 3:00,0,0,0,0,2016
06/04/2016 3:00,4.4,12,22.3,0,2016
06/05/2016 3:00,1,0,33,0,2016
06/06/2016 3:00,4.5,0.4,6.8,16,2016
06/07/2016 3:00,0.5,4.5,0,4.2,2016
06/08/2016 3:00,2.3,10,3,0,2016
06/09/2016 3:00,0,0,0,0,2016
06/10/2016 3:00,55.2,2.8,0,42,2016
06/11/2016 3:00,2.4,2,3.6,0,2016
06/12/2016 3:00,41.5,57.2,73.4,96,2016
06/13/2016 03:00:00,39,39.7,11.6,44.2,2016
06/14/2016 03:00:00,27,29,50,96.8,2016
06/15/2016 03:00:00,37.5,30.5,46.2,12.6,2016
06/16/2016 03:00:00,12.4,56.5,30.8,16.4,2016
06/17/2016 03:00:00,9,39,26,0,2016
06/18/2016 03:00:00,23.2,62.7,21,12.8,2016
06/19/2016 03:00:00,17.3,72.5,0,105,2016
06/20/2016 03:00:00,21.6,44.7,63.4,36.6,2016
06/21/2016 03:00:00,27.3,32,40.6,38,2016
06/22/2016 03:00:00,19.6,2.8,19,14.8,2016
06/23/2016 03:00:00,12.6,29.2,16.6,36.4,2016
06/24/2016 03:00:00,17.8,48.8,169.5,52,2016
06/25/2016 03:00:00,60.4,21.2,1.4,24.6,2016
